,onset,offset,story,word,lemma,PoS_tag_full
0,0.24,0.63,black,so,so,RB
1,0.68,1.26,black,i,I,PRP
2,1.96,2.3,black,was,be,VBD
3,2.3,2.45,black,a,a,DT
4,2.46,3.14,black,junior,junior,NN
5,3.14,3.41,black,in,in,IN
6,3.41,4.2,black,college,college,NN
7,4.79,5.0200000000000005,black,when,when,WRB
8,5.02,5.09,black,i,I,PRP
9,5.09,5.33,black,got,get,VBD
10,5.35,5.59,black,my,my,PRP$
11,5.61,6.34,black,first,first,RB
12,7.11,7.630000000000001,black,paying,pay,VBG
13,7.64,7.659999999999999,black,in,in,IN
14,8.929999,9.199999,black,my,my,PRP$
15,9.21,9.99,black,field,field,NN
16,10.29,10.5,black,on,on,IN
17,10.5,10.62,black,the,the,DT
18,10.62,11.36,black,radio,radio,NN
19,11.82,11.97,black,this,this,DT
20,11.969999,12.089999,black,is,be,VBZ
21,12.09,12.32,black,not,not,RB
22,12.32,12.43,black,an,an,DT
23,12.429999,13.389999,black,internship,internship,NN
24,13.83,14.04,black,i'm,I'm,NN
25,14.04,14.37,black,getting,get,VBG
26,14.37,14.45,black,a,a,DT
27,14.45,15.03,black,check,check,NN
28,16.51,16.700000000000003,black,it,it,PRP
29,16.699999,16.869999,black,was,be,VBD
30,16.869999,16.969999,black,a,a,DT
31,17.01,17.39,black,country,country,NN
32,17.389999,17.519999,black,and,and,CC
33,17.52,17.91,black,western,western,JJ
34,17.91,18.31,black,radio,radio,NN
35,18.32,18.86,black,station,station,NN
36,20.77,20.96,black,and,and,CC
37,20.96,21.15,black,my,my,PRP$
38,21.15,21.58,black,job,job,NN
39,21.59,21.84,black,though,though,IN
40,21.84,21.94,black,it,it,PRP
41,21.95,22.18,black,was,be,VBD
42,22.18,22.71,black,only,only,RB
43,22.98,23.18,black,on,on,IN
44,23.18,23.29,black,the,the,DT
45,23.29,24.1,black,weekends,weekend,NNS
46,24.58,24.84,black,was,be,VBD
47,24.84,24.99,black,to,to,TO
48,24.99,25.69,black,play,play,NN
49,26.05,26.22,black,the,the,DT
50,26.22,26.7,black,top,top,NN
51,26.91,27.43,black,country,country,NN
52,27.429999,28.019999,black,hits,hit,NNS
53,28.349999,28.619999,black,of,of,IN
54,28.62,28.71,black,the,the,DT
55,28.71,29.23,black,week,week,NN
56,29.849999,30.169999,black,each,each,DT
57,30.17,30.76,black,sunday,Sunday,NNP
58,31.44,31.58,black,it,it,PRP
59,31.58,32.129999999999995,black,actually,actually,RB
60,32.15,32.67,black,came,come,VBD
61,32.67,32.83,black,on,on,IN
62,32.83,32.94,black,an,an,DT
63,32.94,33.52,black,album,album,NN
64,34.049999,34.229999,black,pre,,
65,34.230000000000004,34.730000000000004,black,recorded,record,VBN
66,35.539999,35.819999,black,so,so,RB
67,35.859999,36.109999,black,i,I,PRP
68,36.119999,36.369999,black,had,have,VBD
69,36.37,36.66,black,to,to,TO
70,36.78,37.03,black,take,take,VB
71,37.03,37.14,black,it,it,PRP
72,37.14,37.26,black,out,out,IN
73,37.260000000000005,37.400000000000006,black,of,of,IN
74,37.4,37.49,black,the,the,DT
75,37.49,38.34,black,sleeve,sleeve,NN
76,39.84,40.080000000000005,black,and,and,CC
77,40.09,40.28,black,put,put,NN
78,40.28,40.39,black,it,it,PRP
79,40.39,40.52,black,on,on,IN
80,40.52,40.62,black,the,the,DT
81,40.63,41.220000000000006,black,turntable,turntable,JJ
82,41.22,41.49,black,just,just,RB
83,41.49,41.85,black,so,so,RB
84,42.69,42.88,black,and,and,CC
85,42.88,43.04,black,put,put,NN
86,43.04,43.16,black,the,the,DT
87,43.16,43.56,black,needle,needle,NN
88,43.56,44.2,black,down,down,RB
89,44.639999,44.879999000000005,black,on,on,IN
90,44.88,45.32,black,side,side,NN
91,45.32,45.82,black,one,one,CD
92,46.29,46.88,black,caring,care,VBG
93,47.54,47.76,black,not,not,RB
94,47.759999,47.839999,black,to,to,TO
95,47.84,48.18000000000001,black,scratch,scratch,NN
96,48.179999,48.369999,black,it,it,PRP
97,49.559999,49.769999,black,and,and,CC
98,49.77,49.92999999999999,black,then,then,RB
99,49.929999,50.129999000000005,black,let,let,VB
100,50.13,50.38,black,part,part,NN
101,50.389999,50.609999,black,one,one,CD
102,50.61,50.99,black,play,play,NN
103,52.23,52.440000000000005,black,my,my,PRP$
104,52.440001,52.81000099999999,black,moment,moment,NN
105,52.809999000000005,52.959999,black,is,be,VBZ
106,52.98,53.43000000000001,black,coming,come,VBG
107,53.43,53.82,black,now,now,RB
108,54.85,55.14,black,yes,yes,NNS
109,55.15,55.29,black,all,all,DT
110,55.29,55.38,black,the,the,DT
111,55.38,55.84,black,training,train,NN
112,55.84,56.010000000000005,black,it's,it's,NN
113,56.01,56.38,black,coming,come,VBG
114,56.38,56.68,black,now,now,RB
115,56.93,57.16,black,when,when,WRB
116,57.16,57.62,black,side,side,NN
117,57.62,57.91,black,one,one,CD
118,57.91,58.1,black,would,would,MD
119,58.1,58.620000000000005,black,end,end,NN
120,58.91,59.06999999999999,black,i,I,PRP
121,59.08,59.36,black,had,have,VBD
122,59.36,59.61,black,to,to,TO
123,59.75,60.4,black,lift,lift,NN
124,60.5,60.71,black,the,the,DT
125,60.71,61.12,black,needle,needle,NN
126,63.57,63.75,black,and,and,CC
127,63.75,63.98,black,here's,here's,NN
128,63.98,64.13000000000001,black,my,my,PRP$
129,64.13,64.6,black,moment,moment,NN
130,65.889999,66.029999,black,i,I,PRP
131,66.03,66.23,black,get,get,VB
132,66.23,66.35000000000001,black,to,to,TO
133,66.349999,66.689999,black,read,read,NN
134,66.69,66.78999999999999,black,the,the,DT
135,66.78999999999999,67.10999999999999,black,weather,weather,NN
136,67.11,67.77,black,live,live,JJ
137,67.82,68.00999999999999,black,for,for,IN
138,68.009999,68.60999899999999,black,jefferson,Jefferson,NN
139,68.61,68.92,black,city,city,NN
140,68.99,69.53,black,missouri,Missouri,NN
141,75.13,75.35,black,then,then,RB
142,75.35,75.44999999999999,black,i,I,PRP
143,75.46,75.74,black,played,play,NNS
144,75.74,76.33999999999999,black,commercials,commercials,NNS
145,76.34,76.53,black,and,and,CC
146,76.53,77.06,black,while,while,IN
147,77.07,77.22999999999999,black,the,the,DT
148,77.25,77.87,black,commercials,commercials,NNS
149,77.87,78.01,black,were,be,VBD
150,78.01,78.34,black,playing,play,VBG
151,78.34,78.49000000000001,black,i,I,PRP
152,78.5,78.76,black,had,have,VBD
153,78.76,79.01,black,to,to,TO
154,79.29,79.83000000000001,black,flip,flip,NN
155,79.96,80.19999999999999,black,the,the,DT
156,80.2,80.86,black,album,album,NN
157,81.78999999999999,81.99,black,put,put,NN
158,81.99,82.13,black,it,it,PRP
159,82.28,82.64,black,back,back,RB
160,82.7,83.14,black,down,down,RB
161,83.139999,83.28999900000001,black,on,on,IN
162,83.28999999999999,83.39999999999999,black,the,the,DT
163,83.41,84.17999999999999,black,turntable,turntable,JJ
164,84.36,84.54,black,put,put,NN
165,84.53999999999999,84.63999999999999,black,the,the,DT
166,84.639999,84.999999,black,needle,needle,NN
167,85.009999,85.269999,black,back,back,RB
168,85.33,85.64999999999999,black,down,down,RB
169,85.65,85.94000000000001,black,now,now,RB
170,85.95,86.22,black,on,on,IN
171,86.23,86.95,black,side,side,NN
172,86.969999,87.779999,black,two,two,CD
173,88.369999,88.559999,black,and,and,CC
174,88.559999,88.859999,black,let,let,VB
175,88.959999,89.259999,black,part,part,NN
176,89.27,89.69,black,two,two,CD
177,89.779999,89.949999,black,of,of,IN
178,89.94999899999999,89.99999899999999,black,the,the,DT
179,90.0,90.25,black,top,top,NN
180,90.27,90.6,black,country,country,NN
181,90.6,91.02,black,hits,hit,NNS
182,91.23,91.42,black,of,of,IN
183,91.42,91.49,black,the,the,DT
184,91.49,91.69,black,week,week,NN
185,91.69,92.09,black,play,play,NN
186,92.94,93.11,black,you,you,PRP
187,93.11,93.22,black,know,know,VB
188,93.22,93.38,black,when,when,WRB
189,93.38,93.52,black,you're,you're,NN
190,93.52,93.84,black,getting,get,VBG
191,93.84,93.93,black,a,a,DT
192,93.94,94.68,black,degree,degree,NN
193,94.79,94.99,black,in,in,IN
194,94.99,96.06,black,communications,communications,NNS
195,96.06,96.31,black,or,or,CC
196,96.79,97.93,black,broadcasting,broadcast,NN
197,98.24,98.43,black,they,they,PRP
198,98.429999,98.789999,black,teach,teach,NN
199,98.79,99.13,black,you,you,PRP
200,99.22,99.43,black,all,all,DT
201,99.429999,99.999999,black,kinds,kinds,NNS
202,100.0,100.2,black,of,of,IN
203,100.2,100.86,black,stuff,stuff,NN
204,101.3,101.53,black,but,but,CC
205,101.53,101.72,black,they,they,PRP
206,101.719999,101.979999,black,do,do,VB
207,101.98,102.31,black,not,not,RB
208,102.309999,102.659999,black,teach,teach,NN
209,102.66,103.03,black,you,you,PRP
210,103.57,103.94,black,how,how,WRB
211,103.969999,104.129999,black,to,to,TO
212,104.13,104.41,black,flip,flip,NN
213,104.41,104.52,black,an,an,DT
214,104.52,105.12,black,album,album,NN
215,106.66,106.89,black,in,in,IN
216,106.889999,107.209999,black,record,record,NN
217,107.209999,107.879999,black,time,time,NN
218,108.48,108.92,black,before,before,IN
219,108.92,109.04,black,the,the,DT
220,109.059999,109.529999,black,commercial,commercial,JJ
221,109.53,109.86,black,break,break,NN
222,109.86,110.62,black,ends,end,NNS
223,111.69,111.95,black,my,my,PRP$
224,111.95,112.59,black,career,career,NN
225,112.59,112.77,black,would,would,MD
226,112.77,113.38,black,eventually,eventually,RB
227,113.39,113.66,black,bring,bring,NN
228,113.66,113.85,black,me,me,PRP
229,113.86,114.62,black,here,here,RB
230,115.16,115.36,black,to,to,TO
231,115.36,115.63,black,st,,
232,115.63,116.25,black,louis,Louis,NNP
233,118.099999,118.369999,black,it's,it's,NN
234,118.38,118.56,black,the,the,DT
235,118.559999,119.489999,black,largest,largest,JJS
236,119.49,120.08,black,market,market,NN
237,120.429999,120.639999,black,i,I,PRP
238,120.639999,120.749999,black,had,have,VBD
239,120.75,120.95,black,ever,ever,RB
240,120.95,121.2,black,been,be,VBN
241,121.2,121.64,black,in,in,IN
242,122.179999,122.579999,black,i,I,PRP
243,122.589999,122.879999,black,was,be,VBD
244,122.88,124.05,black,excited,excite,VBN
245,124.41,124.69,black,and,and,CC
246,124.690001,124.860001,black,i,I,PRP
247,124.869999,125.119999,black,was,be,VBD
248,125.139999,126.349999,black,nervous,nervous,JJ
249,127.17,127.38,black,and,and,CC
250,127.38,127.67,black,so,so,RB
251,127.7,127.98,black,i,I,PRP
252,127.98,128.65,black,am,be,VBP
253,129.07,129.57,black,trying,try,VBG
254,129.57,129.70999999999998,black,to,to,TO
255,129.71,129.88,black,get,get,VB
256,129.88,129.99,black,to,to,TO
257,129.99,130.15,black,know,know,VB
258,130.15,130.26000000000002,black,the,the,DT
259,130.26,131.01,black,community,community,NN
